# wavelength[A] tau flux flux_error
1.153420e+03 0.000000e+00 1.053536e+00 1.875797e-01
1.153430e+03 0.000000e+00 9.983725e-01 1.826028e-01
1.153440e+03 0.000000e+00 1.001380e+00 1.828776e-01
1.153450e+03 0.000000e+00 1.013543e+00 1.839849e-01
1.153460e+03 0.000000e+00 9.825485e-01 1.811499e-01
1.153470e+03 0.000000e+00 1.042655e+00 1.866085e-01
1.153480e+03 0.000000e+00 9.863150e-01 1.814968e-01
1.153490e+03 0.000000e+00 1.017727e+00 1.843643e-01
1.153500e+03 0.000000e+00 9.458033e-01 1.777303e-01
1.153510e+03 0.000000e+00 9.737925e-01 1.803409e-01
1.153520e+03 0.000000e+00 1.017196e+00 1.843161e-01
1.153530e+03 0.000000e+00 1.017729e+00 1.843645e-01
1.153540e+03 0.000000e+00 9.959803e-01 1.823839e-01
1.153550e+03 0.000000e+00 1.058864e+00 1.880534e-01
1.153560e+03 0.000000e+00 9.723259e-01 1.802051e-01
1.153570e+03 0.000000e+00 1.012081e+00 1.838522e-01
1.153580e+03 0.000000e+00 1.014367e+00 1.840597e-01
1.153590e+03 0.000000e+00 9.841263e-01 1.812953e-01
1.153600e+03 0.000000e+00 9.502467e-01 1.781473e-01
1.153610e+03 0.000000e+00 1.043189e+00 1.866563e-01
1.153620e+03 0.000000e+00 1.019866e+00 1.845580e-01
1.153630e+03 0.000000e+00 1.029809e+00 1.854554e-01
1.153640e+03 0.000000e+00 9.780036e-01 1.807305e-01
1.153650e+03 0.000000e+00 9.453181e-01 1.776847e-01
1.153660e+03 0.000000e+00 9.654464e-01 1.795665e-01
1.153670e+03 0.000000e+00 1.023269e+00 1.848655e-01
1.153680e+03 0.000000e+00 1.067468e+00 1.888159e-01
1.153690e+03 0.000000e+00 1.037315e+00 1.861300e-01
1.153700e+03 0.000000e+00 1.071509e+00 1.891730e-01
1.153710e+03 0.000000e+00 1.025662e+00 1.850816e-01
1.153720e+03 0.000000e+00 1.025268e+00 1.850461e-01
1.153730e+03 0.000000e+00 9.917439e-01 1.819956e-01
1.153740e+03 0.000000e+00 9.329926e-01 1.765226e-01
1.153750e+03 0.000000e+00 9.963246e-01 1.824154e-01
1.153760e+03 0.000000e+00 1.047991e+00 1.870854e-01
1.153770e+03 0.000000e+00 1.030666e+00 1.855325e-01
1.153780e+03 0.000000e+00 9.957314e-01 1.823611e-01
1.153790e+03 0.000000e+00 9.974661e-01 1.825199e-01
1.153800e+03 0.000000e+00 9.730456e-01 1.802718e-01
1.153810e+03 0.000000e+00 9.679585e-01 1.797999e-01
1.153820e+03 0.000000e+00 1.010636e+00 1.837209e-01
1.153830e+03 0.000000e+00 9.768679e-01 1.806255e-01
1.153840e+03 0.000000e+00 9.635073e-01 1.793860e-01
1.153850e+03 0.000000e+00 9.923744e-01 1.820534e-01
1.153860e+03 0.000000e+00 1.024708e+00 1.849956e-01
1.153870e+03 0.000000e+00 1.058966e+00 1.880625e-01
1.153880e+03 0.000000e+00 1.015844e+00 1.841936e-01
1.153890e+03 0.000000e+00 9.570659e-01 1.787854e-01
1.153900e+03 0.000000e+00 9.922359e-01 1.820407e-01
1.153910e+03 0.000000e+00 1.019908e+00 1.845617e-01
1.153920e+03 0.000000e+00 9.662904e-01 1.796449e-01
1.153930e+03 0.000000e+00 9.804572e-01 1.809570e-01
1.153940e+03 0.000000e+00 9.898710e-01 1.818237e-01
1.153950e+03 0.000000e+00 9.904524e-01 1.818771e-01
1.153960e+03 0.000000e+00 9.590351e-01 1.789692e-01
1.153970e+03 0.000000e+00 1.000840e+00 1.828283e-01
1.153980e+03 0.000000e+00 9.672329e-01 1.797325e-01
1.153990e+03 0.000000e+00 9.845443e-01 1.813338e-01
1.154000e+03 0.000000e+00 1.006347e+00 1.833306e-01
1.154010e+03 0.000000e+00 1.007273e+00 1.834149e-01
1.154020e+03 0.000000e+00 1.001071e+00 1.828494e-01
1.154030e+03 0.000000e+00 9.958520e-01 1.823721e-01
1.154040e+03 0.000000e+00 1.017260e+00 1.843220e-01
1.154050e+03 0.000000e+00 1.005935e+00 1.832931e-01
1.154060e+03 0.000000e+00 1.029420e+00 1.854204e-01
1.154070e+03 0.000000e+00 9.760200e-01 1.805471e-01
1.154080e+03 0.000000e+00 9.624762e-01 1.792900e-01
1.154090e+03 0.000000e+00 9.580578e-01 1.788780e-01
1.154100e+03 0.000000e+00 9.792031e-01 1.808413e-01
1.154110e+03 0.000000e+00 9.928783e-01 1.820997e-01
1.154120e+03 0.000000e+00 1.009404e+00 1.836088e-01
1.154130e+03 0.000000e+00 1.038671e+00 1.862517e-01
1.154140e+03 0.000000e+00 9.969580e-01 1.824734e-01
1.154150e+03 0.000000e+00 1.002052e+00 1.829390e-01
1.154160e+03 0.000000e+00 1.032691e+00 1.857147e-01
1.154170e+03 0.000000e+00 9.918867e-01 1.820087e-01
1.154180e+03 0.000000e+00 9.823265e-01 1.811294e-01
1.154190e+03 0.000000e+00 9.755701e-01 1.805055e-01
1.154200e+03 0.000000e+00 9.720548e-01 1.801800e-01
1.154210e+03 0.000000e+00 1.002766e+00 1.830042e-01
1.154220e+03 0.000000e+00 1.007175e+00 1.834060e-01
1.154230e+03 0.000000e+00 1.034766e+00 1.859012e-01
1.154240e+03 0.000000e+00 9.708233e-01 1.800658e-01
1.154250e+03 0.000000e+00 9.707412e-01 1.800582e-01
1.154260e+03 0.000000e+00 1.073842e+00 1.893787e-01
1.154270e+03 0.000000e+00 9.589313e-01 1.789595e-01
1.154280e+03 0.000000e+00 9.453562e-01 1.776883e-01
1.154290e+03 0.000000e+00 9.848458e-01 1.813616e-01
1.154300e+03 0.000000e+00 1.064186e+00 1.885254e-01
1.154310e+03 0.000000e+00 1.030856e+00 1.855497e-01
1.154320e+03 0.000000e+00 9.601140e-01 1.790699e-01
1.154330e+03 0.000000e+00 1.003974e+00 1.831143e-01
1.154340e+03 0.000000e+00 9.902326e-01 1.818569e-01
